Scenario,Single_Accuracy,Collab_Accuracy,Consensus_Accuracy,n
HVAC,1.0,0.11428571428571428,0.2571428571428571,35
Lighting,0.5333333333333333,0.0,0.0,30
Security,0.8571428571428571,0.17142857142857143,0.17142857142857143,35
